"Spectra_Name","Location","Instrument","Species_Code","Genus","Species","Canopy_position","PLSR_LeafAge_days","Measurement_Date","Leaf_VIS_Spectral_Absorption"
"BNL12876","FLMM","PSR+3500","BUR-SIM","Bursera","simaruba","Upper","90.7545067553036","20170305",0.867214373748764
"BNL12877","FLMM","PSR+3500","ZAN-MAR","Zanthoxylum","martinicense","Upper","283.441358587245","20170305",0.941447610029773
"BNL12878","FLMM","PSR+3500","CAL-CAN","Calycophyllum","candidissimum","Upper","252.643239180346","20170305",0.919678366406081
"BNL12879","FLMM","PSR+3500","CAL-CAN","Calycophyllum","candidissimum","Upper","109.679332918515","20170305",0.929059132421989
"BNL12880","FLMM","PSR+3500","ANA-OCC","Anacardium","occidentale","Upper","78.3472343571783","20170305",0.907211043058964
"BNL12881","FLMM","PSR+3500","COR-DEN","Cordia","dentata","Upper","119.580375251131","20170305",0.908121490432465
"BNL12882","FLMM","PSR+3500","COR-DEN","Cordia","dentata","Upper","29.8106378902436","20170305",0.847976972047272
"BNL12883","FLMM","PSR+3500","ANA-OCC","Anacardium","occidentale","Upper","140.347578867336","20170305",0.909580430945479
"BNL12884","FLMM","PSR+3500","ANA-OCC","Anacardium","occidentale","Upper","50.0867957638727","20170305",0.875995428401068
"BNL12885","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Lower","149.849663807863","20170305",0.916802397393769
"BNL12886","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Lower","154.147245554359","20170305",0.948427840439385
"BNL12887","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Lower","248.493841706011","20170305",0.950015914668373
"BNL12888","FLMM","PSR+3500","ANA-OCC","Anacardium","occidentale","Upper","218.956952138082","20170305",0.947968304711879
"BNL12889","FLMM","PSR+3500","ANA-OCC","Anacardium","occidentale","Upper","356.135910482","20170305",0.938347929296856
"BNL12890","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Lower","5.69344423801031","20170305",0.877797153651253
"BNL12891","FLMM","PSR+3500","MAM-AME","Mammea","americana","Upper","9.98908704837323","20170305",0.953406176202221
"BNL12892","FLMM","PSR+3500","MAM-AME","Mammea","americana","Upper","116.022039375566","20170305",0.951297935530144
"BNL12893","FLMM","PSR+3500","ANA-OCC","Anacardium","occidentale","Upper","26.392714959392","20170305",0.897309060286319
"BNL12894","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Upper","90.7467809152681","20170305",0.928815079521693
"BNL12895","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Upper","199.788197078347","20170305",0.93598372289451
"BNL12896","FLMM","PSR+3500","MAM-AME","Mammea","americana","Upper","13.7029765242013","20170305",0.938473430103345
"BNL12897","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Upper","19.1695853211722","20170305",0.925358249563994
"BNL12898","FLMM","PSR+3500","MAM-AME","Mammea","americana","Upper","9.33062316690618","20170305",0.956158057089408
"BNL12899","FLMM","HR-1024i","BYR-LUC","Byrsonima","lucida","Upper","57.6376786102756","20170305",0.914817947104589
"BNL12900","FLMM","PSR+3500","BYR-LUC","Byrsonima","lucida","Upper","187.721226475698","20170305",0.945461143940512
"BNL12601","FLMM","PSR+3500","GUA-OFF","Guaiacum","officinale","Upper","107.283627409686","20170306",0.925716282351402
"BNL12602","FLMM","PSR+3500","QUA-CYN","Quadrella","cynophallophora","Upper","15.1906115450414","20170306",0.899320401457362
"BNL12603","FLMM","PSR+3500","QUA-CYN","Quadrella","cynophallophora","Upper","116.888448201414","20170306",0.924568187380037
"BNL12604","FLMM","PSR+3500","COC-DIV","Coccoloba","diversifolia","Upper","71.9191112590053","20170306",0.906828374301836
"BNL12605","FLMM","PSR+3500","COC-DIV","Coccoloba","diversifolia","Upper","174.034734489506","20170306",0.927219072529581
"BNL12606","FLMM","PSR+3500","PET-DOM","Petitia","domingensis","Upper","10.6924932943474","20170306",0.886801149886953
"BNL12607","FLMM","PSR+3500","PET-DOM","Petitia","domingensis","Upper","31.8786954682293","20170306",0.912643120195263
"BNL12608","FLMM","PSR+3500","PET-DOM","Petitia","domingensis","Upper","122.770700185654","20170306",0.922253781211987
"BNL12609","FLMM","PSR+3500","CAL-ANT","Calophyllum","antillanum","Upper","20.1163136228984","20170306",0.914681476805255
"BNL12610","FLMM","PSR+3500","CAL-ANT","Calophyllum","antillanum","Upper","429.35025875134","20170306",0.945051194147238
"BNL12611","FLMM","PSR+3500","COC-PUB","Coccoloba","pubescens","Upper","163.06573879032","20170306",0.945191821993219
"BNL12612","FLMM","PSR+3500","COC-PUB","Coccoloba","pubescens","Upper","143.340213848373","20170306",0.932262886570688
"BNL12613","FLMM","PSR+3500","COC-PUB","Coccoloba","pubescens","Upper","87.0689828262605","20170306",0.929294248614266
"BNL12614","FLMM","PSR+3500","COC-PUB","Coccoloba","pubescens","Upper","162.119649472839","20170306",0.930027698784858
"BNL12615","FLMM","PSR+3500","COC-PUB","Coccoloba","pubescens","Upper","551.162298389437","20170306",0.919118540499417
"BNL12616","FLMM","PSR+3500","BUC-BUC","Bucida","buceras","Upper","162.01119202425","20170306",0.938876198042693
"BNL12617","FLMM","PSR+3500","BUC-BUC","Bucida","buceras","Upper","192.873183840814","20170306",0.920263286902002
"BNL12618","FLMM","PSR+3500","MAN-BID","Manilkara","bidentata","Upper","6.69654392569603","20170306",0.852524365756879
"BNL12619","FLMM","PSR+3500","MAN-BID","Manilkara","bidentata","Upper","185.264953492388","20170306",0.946390331393915
"BNL12620","FLMM","PSR+3500","MAN-BID","Manilkara","bidentata","Upper","539.802952999412","20170306",0.944723589858872
"BNL12621","FLMM","PSR+3500","COC-DIV","Coccoloba","diversifolia","Upper","98.1007423959066","20170306",0.930828379014657
"BNL12622","FLMM","PSR+3500","COC-DIV","Coccoloba","diversifolia","Upper","156.823095014118","20170306",0.943106036813259
"BNL12719","FLMM","PSR+3500","COC-DIV","Coccoloba","diversifolia","Upper","176.16283336618","20170306",0.960298789777089
"BNL12720","FLMM","PSR+3500","COC-DIV","Coccoloba","diversifolia","Upper","127.6943589444","20170306",0.940138482769797
"BNL12722","FLMM","PSR+3500","COC-DIV","Coccoloba","diversifolia","Upper","235.302391310203","20170306",0.952530925920932
"BNL12723","FLMM","PSR+3500","COC-DIV","Coccoloba","diversifolia","Upper","158.011483932907","20170306",0.959361974391641
"BNL12724","FLMM","PSR+3500","COC-DIV","Coccoloba","diversifolia","Upper","98.2794405725444","20170306",0.945468818736323
"BNL12725","FLMM","PSR+3500","BOU-SUC","Bourreria","succculenta","Upper","142.673398806315","20170306",0.905889367089242
"BNL12726","FLMM","PSR+3500","BOU-SUC","Bourreria","succculenta","Upper","113.514714123837","20170306",0.907272071334687
"BNL12727","FLMM","PSR+3500","BOU-SUC","Bourreria","succculenta","Upper","164.71379315347","20170306",0.921581187469023
"BNL12728","FLMM","PSR+3500","BOU-SUC","Bourreria","succculenta","Upper","277.922611363058","20170306",0.92847629407474
"BNL12729","FLMM","PSR+3500","BOU-SUC","Bourreria","succculenta","Upper","244.983967791332","20170306",0.93075821044058
"BNL12730","FLMM","PSR+3500","BOU-SUC","Bourreria","succculenta","Upper","175.530224245044","20170306",0.914986142335016
"BNL12731","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Upper","0.589766940515846","20170306",0.947563034785955
"BNL12732","FLMM","PSR+3500","GUA-FRA","Guapira","fragans","Upper","13.7238837695063","20170306",0.849787510960588
"BNL12733","FLMM","PSR+3500","GUA-FRA","Guapira","fragans","Upper","192.629309635606","20170306",0.90964890848726
"BNL12734","FLMM","PSR+3500","COC-DIV","Coccoloba","diversifolia","Upper","156.193580119044","20170306",0.945618964180272
"BNL12735","FLMM","PSR+3500","COC-DIV","Coccoloba","diversifolia","Upper","175.10972942956","20170306",0.959661327790386
"BNL12736","FLMM","PSR+3500","GUA-OFF","Guaiacum","officinale","Upper","52.564417062478","20170306",0.916954683099812
"BNL12737","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Upper","0.254023154834506","20170306",0.948514356860024
"BNL12738","FLMM","PSR+3500","CLU-ROS","Clusia","rosea","Upper","32.1273256192515","20170306",0.939020849965962
"BNL12739","FLMM","PSR+3500","CLU-ROS","Cordia","collococca",NA,"158.088434816423","20170306",0.937632684686588
"BNL12740","FLMM","PSR+3500","COR-COL","Cordia","collococca","Upper","121.460524720162","20170306",0.908039670944023
"BNL12741","FLMM","PSR+3500","COR-COL","Cordia","collococca","Upper","134.0050457976","20170306",0.914250809894611
"BNL12742","FLMM","PSR+3500","COR-COL","Cordia","collococca","Upper","150.248728930126","20170306",0.923286614848809
"BNL12743","FLMM","PSR+3500","COC-PUB","Coccoloba","pubescens","Upper","277.573550607225","20170306",0.930540070444727
